date,home_team,away_team,fthg,ftag,result,season,matchday,home_odds,draw_odds,away_odds
2023-10-08,Wolverhampton,Aston Villa,1,1,D,2023-2024,8,,,
2023-10-08,Arsenal,Man City,1,0,H,2023-2024,8,,,
2023-10-21,Sheffield Utd,Man United,1,2,A,2023-2024,9,,,
2023-10-21,Chelsea,Arsenal,2,2,D,2023-2024,9,,,
2023-10-21,Newcastle,Crystal Palace,4,0,H,2023-2024,9,,,
2023-10-21,Nottingham,Luton Town,2,2,D,2023-2024,9,,,
2023-10-21,Brentford,Burnley,3,0,H,2023-2024,9,,,
2023-10-21,Bournemouth,Wolverhampton,1,2,A,2023-2024,9,,,
2023-10-21,Liverpool,Everton,2,0,H,2023-2024,9,,,
2023-10-21,Man City,Brighton Hove,2,1,H,2023-2024,9,,,
2023-10-22,Aston Villa,West Ham,4,1,H,2023-2024,9,,,
2023-10-23,Tottenham,Fulham,2,0,H,2023-2024,9,,,
2023-10-27,Crystal Palace,Tottenham,1,2,A,2023-2024,10,,,
2023-10-28,Chelsea,Brentford,0,2,A,2023-2024,10,,,
2023-10-28,Bournemouth,Burnley,2,1,H,2023-2024,10,,,
2023-10-28,Arsenal,Sheffield Utd,5,0,H,2023-2024,10,,,
2023-10-28,Wolverhampton,Newcastle,2,2,D,2023-2024,10,,,
2023-10-29,Man United,Man City,0,3,A,2023-2024,10,,,
2023-10-29,Liverpool,Nottingham,3,0,H,2023-2024,10,,,
2023-10-29,West Ham,Everton,0,1,A,2023-2024,10,,,
2023-10-29,Aston Villa,Luton Town,3,1,H,2023-2024,10,,,
2023-10-29,Brighton Hove,Fulham,1,1,D,2023-2024,10,,,
2023-11-04,Fulham,Man United,0,1,A,2023-2024,11,,,
2023-11-04,Brentford,West Ham,3,2,H,2023-2024,11,,,
2023-11-04,Burnley,Crystal Palace,0,2,A,2023-2024,11,,,
2023-11-04,Everton,Brighton Hove,1,1,D,2023-2024,11,,,
2023-11-04,Man City,Bournemouth,6,1,H,2023-2024,11,,,
2023-11-04,Sheffield Utd,Wolverhampton,2,1,H,2023-2024,11,,,
2023-11-04,Newcastle,Arsenal,1,0,H,2023-2024,11,,,
2023-11-05,Nottingham,Aston Villa,2,0,H,2023-2024,11,,,
2023-11-05,Luton Town,Liverpool,1,1,D,2023-2024,11,,,
2023-11-06,Tottenham,Chelsea,1,4,A,2023-2024,11,,,
2023-11-11,Bournemouth,Newcastle,2,0,H,2023-2024,12,,,
2023-11-11,Man United,Luton Town,1,0,H,2023-2024,12,,,
2023-11-11,Arsenal,Burnley,3,1,H,2023-2024,12,,,
2023-11-11,Wolverhampton,Tottenham,2,1,H,2023-2024,12,,,
2023-11-11,Crystal Palace,Everton,2,3,A,2023-2024,12,,,
2023-11-12,Aston Villa,Fulham,3,1,H,2023-2024,12,,,
2023-11-12,Brighton Hove,Sheffield Utd,1,1,D,2023-2024,12,,,
2023-11-12,Liverpool,Brentford,3,0,H,2023-2024,12,,,
2023-11-12,West Ham,Nottingham,3,2,H,2023-2024,12,,,
2023-11-12,Chelsea,Man City,4,4,D,2023-2024,12,,,
2023-11-25,Sheffield Utd,Bournemouth,1,3,A,2023-2024,13,,,
2023-11-25,Brentford,Arsenal,0,1,A,2023-2024,13,,,
2023-11-25,Nottingham,Brighton Hove,2,3,A,2023-2024,13,,,
2023-11-25,Luton Town,Crystal Palace,2,1,H,2023-2024,13,,,
2023-11-25,Burnley,West Ham,1,2,A,2023-2024,13,,,
2023-11-25,Newcastle,Chelsea,4,1,H,2023-2024,13,,,
2023-11-25,Man City,Liverpool,1,1,D,2023-2024,13,,,
2023-11-26,Tottenham,Aston Villa,1,2,A,2023-2024,13,,,
2023-11-26,Everton,Man United,0,3,A,2023-2024,13,,,
2023-11-27,Fulham,Wolverhampton,3,2,H,2023-2024,13,,,
2023-12-02,Nottingham,Everton,0,1,A,2023-2024,14,,,
2023-12-02,Burnley,Sheffield Utd,5,0,H,2023-2024,14,,,
2023-12-02,Newcastle,Man United,1,0,H,2023-2024,14,,,
2023-12-02,Arsenal,Wolverhampton,2,1,H,2023-2024,14,,,
2023-12-02,Brentford,Luton Town,3,1,H,2023-2024,14,,,
2023-12-03,Bournemouth,Aston Villa,2,2,D,2023-2024,14,,,
2023-12-03,Chelsea,Brighton Hove,3,2,H,2023-2024,14,,,
2023-12-03,Liverpool,Fulham,4,3,H,2023-2024,14,,,
2023-12-03,West Ham,Crystal Palace,1,1,D,2023-2024,14,,,
2023-12-03,Man City,Tottenham,3,3,D,2023-2024,14,,,
2023-12-05,Wolverhampton,Burnley,1,0,H,2023-2024,15,,,
2023-12-05,Luton Town,Arsenal,3,4,A,2023-2024,15,,,
2023-12-06,Crystal Palace,Bournemouth,0,2,A,2023-2024,15,,,
2023-12-06,Aston Villa,Man City,1,0,H,2023-2024,15,,,
2023-12-06,Man United,Chelsea,2,1,H,2023-2024,15,,,
2023-12-06,Sheffield Utd,Liverpool,0,2,A,2023-2024,15,,,
2023-12-06,Brighton Hove,Brentford,2,1,H,2023-2024,15,,,
2023-12-06,Fulham,Nottingham,5,0,H,2023-2024,15,,,
2023-12-07,Everton,Newcastle,3,0,H,2023-2024,15,,,
2023-12-07,Tottenham,West Ham,1,2,A,2023-2024,15,,,
2023-12-09,Wolverhampton,Nottingham,1,1,D,2023-2024,16,,,
2023-12-09,Sheffield Utd,Brentford,1,0,H,2023-2024,16,,,
2023-12-09,Aston Villa,Arsenal,1,0,H,2023-2024,16,,,
2023-12-09,Brighton Hove,Burnley,1,1,D,2023-2024,16,,,
2023-12-09,Crystal Palace,Liverpool,1,2,A,2023-2024,16,,,
2023-12-09,Man United,Bournemouth,0,3,A,2023-2024,16,,,
2023-12-10,Everton,Chelsea,2,0,H,2023-2024,16,,,
2023-12-10,Fulham,West Ham,5,0,H,2023-2024,16,,,
2023-12-10,Luton Town,Man City,1,2,A,2023-2024,16,,,
2023-12-10,Tottenham,Newcastle,4,1,H,2023-2024,16,,,
2023-12-15,Nottingham,Tottenham,0,2,A,2023-2024,17,,,
2023-12-16,Burnley,Everton,0,2,A,2023-2024,17,,,
2023-12-16,Chelsea,Sheffield Utd,2,0,H,2023-2024,17,,,
2023-12-16,Man City,Crystal Palace,2,2,D,2023-2024,17,,,
2023-12-16,Newcastle,Fulham,3,0,H,2023-2024,17,,,
2023-12-17,West Ham,Wolverhampton,3,0,H,2023-2024,17,,,
2023-12-17,Liverpool,Man United,0,0,D,2023-2024,17,,,
2023-12-17,Arsenal,Brighton Hove,2,0,H,2023-2024,17,,,
2023-12-17,Brentford,Aston Villa,1,2,A,2023-2024,17,,,
2023-12-21,Crystal Palace,Brighton Hove,1,1,D,2023-2024,18,,,
2023-12-22,Aston Villa,Sheffield Utd,1,1,D,2023-2024,18,,,
2023-12-23,West Ham,Man United,2,0,H,2023-2024,18,,,
2023-12-23,Fulham,Burnley,0,2,A,2023-2024,18,,,
2023-12-23,Luton Town,Newcastle,1,0,H,2023-2024,18,,,
2023-12-23,Nottingham,Bournemouth,2,3,A,2023-2024,18,,,
2023-12-23,Tottenham,Everton,2,1,H,2023-2024,18,,,
2023-12-23,Liverpool,Arsenal,1,1,D,2023-2024,18,,,
2023-12-24,Wolverhampton,Chelsea,2,1,H,2023-2024,18,,,
2023-12-26,Man United,Aston Villa,3,2,H,2023-2024,19,,,
2023-12-26,Burnley,Liverpool,0,2,A,2023-2024,19,,,
2023-12-26,Newcastle,Nottingham,1,3,A,2023-2024,19,,,
2023-12-26,Bournemouth,Fulham,3,0,H,2023-2024,19,,,
2023-12-26,Sheffield Utd,Luton Town,2,3,A,2023-2024,19,,,
2023-12-27,Brentford,Wolverhampton,1,4,A,2023-2024,19,,,
2023-12-27,Chelsea,Crystal Palace,2,1,H,2023-2024,19,,,
2023-12-27,Everton,Man City,1,3,A,2023-2024,19,,,
2023-12-28,Brighton Hove,Tottenham,4,2,H,2023-2024,19,,,
2023-12-28,Arsenal,West Ham,0,2,A,2023-2024,19,,,
2023-12-30,Wolverhampton,Everton,3,0,H,2023-2024,20,,,
2023-12-30,Nottingham,Man United,2,1,H,2023-2024,20,,,
2023-12-30,Man City,Sheffield Utd,2,0,H,2023-2024,20,,,
2023-12-30,Aston Villa,Burnley,3,2,H,2023-2024,20,,,
2023-12-30,Crystal Palace,Brentford,3,1,H,2023-2024,20,,,
2023-12-30,Luton Town,Chelsea,2,3,A,2023-2024,20,,,
2023-12-31,Fulham,Arsenal,2,1,H,2023-2024,20,,,
2023-12-31,Tottenham,Bournemouth,3,1,H,2023-2024,20,,,
2024-01-01,Liverpool,Newcastle,4,2,H,2023-2024,20,,,
2024-01-02,West Ham,Brighton Hove,0,0,D,2023-2024,20,,,
2024-01-12,Burnley,Luton Town,1,1,D,2023-2024,21,,,
2024-01-13,Chelsea,Fulham,1,0,H,2023-2024,21,,,
2024-01-13,Newcastle,Man City,2,3,A,2023-2024,21,,,
2024-01-14,Everton,Aston Villa,0,0,D,2023-2024,21,,,
2024-01-14,Man United,Tottenham,2,2,D,2023-2024,21,,,
2024-01-20,Brentford,Nottingham,3,2,H,2023-2024,21,,,
2024-01-20,Arsenal,Crystal Palace,5,0,H,2023-2024,21,,,
2024-01-21,Sheffield Utd,West Ham,2,2,D,2023-2024,21,,,
2024-01-21,Bournemouth,Liverpool,0,4,A,2023-2024,21,,,
2024-01-22,Brighton Hove,Wolverhampton,0,0,D,2023-2024,21,,,
2024-01-30,Nottingham,Arsenal,1,2,A,2023-2024,22,,,
2024-01-30,Luton Town,Brighton Hove,4,0,H,2023-2024,22,,,
2024-01-30,Fulham,Everton,0,0,D,2023-2024,22,,,
2024-01-30,Crystal Palace,Sheffield Utd,3,2,H,2023-2024,22,,,
2024-01-30,Aston Villa,Newcastle,1,3,A,2023-2024,22,,,
2024-01-31,Liverpool,Chelsea,4,1,H,2023-2024,22,,,
2024-01-31,Man City,Burnley,3,1,H,2023-2024,22,,,
2024-01-31,Tottenham,Brentford,3,2,H,2023-2024,22,,,
2024-02-01,Wolverhampton,Man United,3,4,A,2023-2024,22,,,
2024-02-01,West Ham,Bournemouth,1,1,D,2023-2024,22,,,
2024-02-03,Everton,Tottenham,2,2,D,2023-2024,23,,,
2024-02-03,Brighton Hove,Crystal Palace,4,1,H,2023-2024,23,,,
2024-02-03,Burnley,Fulham,2,2,D,2023-2024,23,,,
2024-02-03,Newcastle,Luton Town,4,4,D,2023-2024,23,,,
2024-02-03,Sheffield Utd,Aston Villa,0,5,A,2023-2024,23,,,
2024-02-04,Man United,West Ham,3,0,H,2023-2024,23,,,
2024-02-04,Arsenal,Liverpool,3,1,H,2023-2024,23,,,
2024-02-04,Bournemouth,Nottingham,1,1,D,2023-2024,23,,,
2024-02-04,Chelsea,Wolverhampton,2,4,A,2023-2024,23,,,
2024-02-05,Brentford,Man City,1,3,A,2023-2024,23,,,
2024-02-10,Wolverhampton,Brentford,0,2,A,2023-2024,24,,,
2024-02-10,Man City,Everton,2,0,H,2023-2024,24,,,
2024-02-10,Fulham,Bournemouth,3,1,H,2023-2024,24,,,
2024-02-10,Liverpool,Burnley,3,1,H,2023-2024,24,,,
2024-02-10,Luton Town,Sheffield Utd,1,3,A,2023-2024,24,,,
2024-02-10,Tottenham,Brighton Hove,2,1,H,2023-2024,24,,,
2024-02-10,Nottingham,Newcastle,2,3,A,2023-2024,24,,,
2024-02-11,Aston Villa,Man United,1,2,A,2023-2024,24,,,
2024-02-11,West Ham,Arsenal,0,6,A,2023-2024,24,,,
2024-02-12,Crystal Palace,Chelsea,1,3,A,2023-2024,24,,,
2024-02-17,Man City,Chelsea,1,1,D,2023-2024,25,,,
2024-02-17,Tottenham,Wolverhampton,1,2,A,2023-2024,25,,,
2024-02-17,Nottingham,West Ham,2,0,H,2023-2024,25,,,
2024-02-17,Burnley,Arsenal,0,5,A,2023-2024,25,,,
2024-02-17,Fulham,Aston Villa,1,2,A,2023-2024,25,,,
2024-02-17,Newcastle,Bournemouth,2,2,D,2023-2024,25,,,
2024-02-17,Brentford,Liverpool,1,4,A,2023-2024,25,,,
2024-02-18,Sheffield Utd,Brighton Hove,0,5,A,2023-2024,25,,,
2024-02-18,Luton Town,Man United,1,2,A,2023-2024,25,,,
2024-02-19,Everton,Crystal Palace,1,1,D,2023-2024,25,,,
2024-02-20,Man City,Brentford,1,0,H,2023-2024,18,,,
2024-02-21,Liverpool,Luton Town,4,1,H,2023-2024,26,,,
2024-02-24,Crystal Palace,Burnley,3,0,H,2023-2024,26,,,
2024-02-24,Arsenal,Newcastle,4,1,H,2023-2024,26,,,
2024-02-24,Bournemouth,Man City,0,1,A,2023-2024,26,,,
2024-02-24,Brighton Hove,Everton,1,1,D,2023-2024,26,,,
2024-02-24,Aston Villa,Nottingham,4,2,H,2023-2024,26,,,
2024-02-24,Man United,Fulham,1,2,A,2023-2024,26,,,
2024-02-25,Wolverhampton,Sheffield Utd,1,0,H,2023-2024,26,,,
2024-02-26,West Ham,Brentford,4,2,H,2023-2024,26,,,
2024-03-02,Nottingham,Liverpool,0,1,A,2023-2024,27,,,
2024-03-02,Tottenham,Crystal Palace,3,1,H,2023-2024,27,,,
2024-03-02,Luton Town,Aston Villa,2,3,A,2023-2024,27,,,
2024-03-02,Newcastle,Wolverhampton,3,0,H,2023-2024,27,,,
2024-03-02,Everton,West Ham,1,3,A,2023-2024,27,,,
2024-03-02,Brentford,Chelsea,2,2,D,2023-2024,27,,,
2024-03-02,Fulham,Brighton Hove,3,0,H,2023-2024,27,,,
2024-03-03,Burnley,Bournemouth,0,2,A,2023-2024,27,,,
2024-03-03,Man City,Man United,3,1,H,2023-2024,27,,,
2024-03-04,Sheffield Utd,Arsenal,0,6,A,2023-2024,27,,,
2024-03-09,Arsenal,Brentford,2,1,H,2023-2024,28,,,
2024-03-09,Crystal Palace,Luton Town,1,1,D,2023-2024,28,,,
2024-03-09,Wolverhampton,Fulham,2,1,H,2023-2024,28,,,
2024-03-09,Man United,Everton,2,0,H,2023-2024,28,,,
2024-03-09,Bournemouth,Sheffield Utd,2,2,D,2023-2024,28,,,
2024-03-10,Aston Villa,Tottenham,0,4,A,2023-2024,28,,,
2024-03-10,Brighton Hove,Nottingham,1,0,H,2023-2024,28,,,
2024-03-10,West Ham,Burnley,2,2,D,2023-2024,28,,,
2024-03-10,Liverpool,Man City,1,1,D,2023-2024,28,,,
2024-03-11,Chelsea,Newcastle,3,2,H,2023-2024,28,,,
2024-03-13,Bournemouth,Luton Town,4,3,H,2023-2024,17,,,
2024-03-16,Luton Town,Nottingham,1,1,D,2023-2024,29,,,
2024-03-16,Burnley,Brentford,2,1,H,2023-2024,29,,,
2024-03-16,Fulham,Tottenham,3,0,H,2023-2024,29,,,
2024-03-17,West Ham,Aston Villa,1,1,D,2023-2024,29,,,
2024-03-30,Aston Villa,Wolverhampton,2,0,H,2023-2024,30,,,
2024-03-30,Tottenham,Luton Town,2,1,H,2023-2024,30,,,
2024-03-30,Brentford,Man United,1,1,D,2023-2024,30,,,
2024-03-30,Sheffield Utd,Fulham,3,3,D,2023-2024,30,,,
2024-03-30,Chelsea,Burnley,2,2,D,2023-2024,30,,,
2024-03-30,Bournemouth,Everton,2,1,H,2023-2024,30,,,
2024-03-30,Newcastle,West Ham,4,3,H,2023-2024,30,,,
2024-03-30,Nottingham,Crystal Palace,1,1,D,2023-2024,30,,,
2024-03-31,Liverpool,Brighton Hove,2,1,H,2023-2024,30,,,
2024-03-31,Man City,Arsenal,0,0,D,2023-2024,30,,,
2024-04-02,West Ham,Tottenham,1,1,D,2023-2024,31,,,
2024-04-02,Bournemouth,Crystal Palace,1,0,H,2023-2024,31,,,
2024-04-02,Burnley,Wolverhampton,1,1,D,2023-2024,31,,,
2024-04-02,Nottingham,Fulham,3,1,H,2023-2024,31,,,
2024-04-02,Newcastle,Everton,1,1,D,2023-2024,31,,,
2024-04-03,Arsenal,Luton Town,2,0,H,2023-2024,31,,,
2024-04-03,Brentford,Brighton Hove,0,0,D,2023-2024,31,,,
2024-04-03,Man City,Aston Villa,4,1,H,2023-2024,31,,,
2024-04-04,Liverpool,Sheffield Utd,3,1,H,2023-2024,31,,,
2024-04-04,Chelsea,Man United,4,3,H,2023-2024,31,,,
2024-04-06,Luton Town,Bournemouth,2,1,H,2023-2024,32,,,
2024-04-06,Brighton Hove,Arsenal,0,3,A,2023-2024,32,,,
2024-04-06,Fulham,Newcastle,0,1,A,2023-2024,32,,,
2024-04-06,Wolverhampton,West Ham,1,2,A,2023-2024,32,,,
2024-04-06,Aston Villa,Brentford,3,3,D,2023-2024,32,,,
2024-04-06,Everton,Burnley,1,0,H,2023-2024,32,,,
2024-04-06,Crystal Palace,Man City,2,4,A,2023-2024,32,,,
2024-04-07,Man United,Liverpool,2,2,D,2023-2024,32,,,
2024-04-07,Sheffield Utd,Chelsea,2,2,D,2023-2024,32,,,
2024-04-07,Tottenham,Nottingham,3,1,H,2023-2024,32,,,
2024-04-13,Nottingham,Wolverhampton,2,2,D,2023-2024,33,,,
2024-04-13,Man City,Luton Town,5,1,H,2023-2024,33,,,
2024-04-13,Bournemouth,Man United,2,2,D,2023-2024,33,,,
2024-04-13,Brentford,Sheffield Utd,2,0,H,2023-2024,33,,,
2024-04-13,Newcastle,Tottenham,4,0,H,2023-2024,33,,,
2024-04-13,Burnley,Brighton Hove,1,1,D,2023-2024,33,,,
2024-04-14,Liverpool,Crystal Palace,0,1,A,2023-2024,33,,,
2024-04-14,West Ham,Fulham,0,2,A,2023-2024,33,,,
2024-04-14,Arsenal,Aston Villa,0,2,A,2023-2024,33,,,
2024-04-15,Chelsea,Everton,6,0,H,2023-2024,33,,,
2024-04-20,Luton Town,Brentford,1,5,A,2023-2024,34,,,
2024-04-20,Sheffield Utd,Burnley,1,4,A,2023-2024,34,,,
2024-04-20,Wolverhampton,Arsenal,0,2,A,2023-2024,34,,,
2024-04-21,Crystal Palace,West Ham,5,2,H,2023-2024,34,,,
2024-04-21,Everton,Nottingham,2,0,H,2023-2024,34,,,
2024-04-21,Aston Villa,Bournemouth,3,1,H,2023-2024,34,,,
2024-04-21,Fulham,Liverpool,1,3,A,2023-2024,34,,,
2024-04-23,Arsenal,Chelsea,5,0,H,2023-2024,29,,,
2024-04-24,Wolverhampton,Bournemouth,0,1,A,2023-2024,29,,,
2024-04-24,Crystal Palace,Newcastle,2,0,H,2023-2024,29,,,
2024-04-24,Everton,Liverpool,2,0,H,2023-2024,29,,,
2024-04-24,Man United,Sheffield Utd,4,2,H,2023-2024,29,,,
2024-04-25,Brighton Hove,Man City,0,4,A,2023-2024,29,,,
2024-04-27,Aston Villa,Chelsea,2,2,D,2023-2024,35,,,
2024-04-27,Everton,Brentford,1,0,H,2023-2024,35,,,
2024-04-27,Newcastle,Sheffield Utd,5,1,H,2023-2024,35,,,
2024-04-27,Wolverhampton,Luton Town,2,1,H,2023-2024,35,,,
2024-04-27,Fulham,Crystal Palace,1,1,D,2023-2024,35,,,
2024-04-27,West Ham,Liverpool,2,2,D,2023-2024,35,,,
2024-04-27,Man United,Burnley,1,1,D,2023-2024,35,,,
2024-04-28,Bournemouth,Brighton Hove,3,0,H,2023-2024,35,,,
2024-04-28,Tottenham,Arsenal,2,3,A,2023-2024,35,,,
2024-04-28,Nottingham,Man City,0,2,A,2023-2024,35,,,
2024-05-02,Chelsea,Tottenham,2,0,H,2023-2024,26,,,
2024-05-03,Luton Town,Everton,1,1,D,2023-2024,36,,,
2024-05-04,Sheffield Utd,Nottingham,1,3,A,2023-2024,36,,,
2024-05-04,Burnley,Newcastle,1,4,A,2023-2024,36,,,
2024-05-04,Man City,Wolverhampton,5,1,H,2023-2024,36,,,
2024-05-04,Arsenal,Bournemouth,3,0,H,2023-2024,36,,,
2024-05-04,Brentford,Fulham,0,0,D,2023-2024,36,,,
2024-05-05,Brighton Hove,Aston Villa,1,0,H,2023-2024,36,,,
2024-05-05,Chelsea,West Ham,5,0,H,2023-2024,36,,,
2024-05-05,Liverpool,Tottenham,4,2,H,2023-2024,36,,,
2024-05-06,Crystal Palace,Man United,4,0,H,2023-2024,36,,,
2024-05-11,Nottingham,Chelsea,2,3,A,2023-2024,37,,,
2024-05-11,Wolverhampton,Crystal Palace,1,3,A,2023-2024,37,,,
2024-05-11,Tottenham,Burnley,2,1,H,2023-2024,37,,,
2024-05-11,West Ham,Luton Town,3,1,H,2023-2024,37,,,
2024-05-11,Everton,Sheffield Utd,1,0,H,2023-2024,37,,,
2024-05-11,Bournemouth,Brentford,1,2,A,2023-2024,37,,,
2024-05-11,Fulham,Man City,0,4,A,2023-2024,37,,,
2024-05-11,Newcastle,Brighton Hove,1,1,D,2023-2024,37,,,
2024-05-12,Man United,Arsenal,0,1,A,2023-2024,37,,,
2024-05-13,Aston Villa,Liverpool,3,3,D,2023-2024,37,,,
2024-05-14,Tottenham,Man City,0,2,A,2023-2024,34,,,
2024-05-15,Brighton Hove,Chelsea,1,2,A,2023-2024,34,,,
2024-05-15,Man United,Newcastle,3,2,H,2023-2024,34,,,
2024-05-19,Crystal Palace,Aston Villa,5,0,H,2023-2024,38,,,
2024-05-19,Luton Town,Fulham,2,4,A,2023-2024,38,,,
2024-05-19,Liverpool,Wolverhampton,2,0,H,2023-2024,38,,,
2024-05-19,Chelsea,Bournemouth,2,1,H,2023-2024,38,,,
2024-05-19,Man City,West Ham,3,1,H,2023-2024,38,,,
2024-05-19,Brighton Hove,Man United,0,2,A,2023-2024,38,,,
2024-05-19,Brentford,Newcastle,2,4,A,2023-2024,38,,,
2024-05-19,Arsenal,Everton,2,1,H,2023-2024,38,,,
2024-05-19,Burnley,Nottingham,1,2,A,2023-2024,38,,,
2024-05-19,Sheffield Utd,Tottenham,0,3,A,2023-2024,38,,,
