date,home_team,away_team,fthg,ftag,result,season,matchday,home_odds,draw_odds,away_odds
2024-09-14,Brighton Hove,Ipswich Town,0,0,D,2024-2025,4,,,
2024-09-14,Southampton,Man United,0,3,A,2024-2025,4,,,
2024-09-14,Crystal Palace,Leicester City,2,2,D,2024-2025,4,,,
2024-09-15,Tottenham,Arsenal,0,1,A,2024-2025,4,,,
2024-09-15,Wolverhampton,Newcastle,1,2,A,2024-2025,4,,,
2024-09-21,Southampton,Ipswich Town,1,1,D,2024-2025,5,,,
2024-09-21,Crystal Palace,Man United,0,0,D,2024-2025,5,,,
2024-09-21,Liverpool,Bournemouth,3,0,H,2024-2025,5,,,
2024-09-21,Tottenham,Brentford,3,1,H,2024-2025,5,,,
2024-09-21,Fulham,Newcastle,3,1,H,2024-2025,5,,,
2024-09-21,West Ham,Chelsea,0,3,A,2024-2025,5,,,
2024-09-21,Leicester City,Everton,1,1,D,2024-2025,5,,,
2024-09-21,Aston Villa,Wolverhampton,3,1,H,2024-2025,5,,,
2024-09-22,Brighton Hove,Nottingham,2,2,D,2024-2025,5,,,
2024-09-22,Man City,Arsenal,2,2,D,2024-2025,5,,,
2024-09-28,Wolverhampton,Liverpool,1,2,A,2024-2025,6,,,
2024-09-28,Everton,Crystal Palace,2,1,H,2024-2025,6,,,
2024-09-28,Chelsea,Brighton Hove,4,2,H,2024-2025,6,,,
2024-09-28,Nottingham,Fulham,0,1,A,2024-2025,6,,,
2024-09-28,Arsenal,Leicester City,4,2,H,2024-2025,6,,,
2024-09-28,Newcastle,Man City,1,1,D,2024-2025,6,,,
2024-09-28,Brentford,West Ham,1,1,D,2024-2025,6,,,
2024-09-29,Man United,Tottenham,0,3,A,2024-2025,6,,,
2024-09-29,Ipswich Town,Aston Villa,2,2,D,2024-2025,6,,,
2024-09-30,Bournemouth,Southampton,3,1,H,2024-2025,6,,,
2024-10-05,Everton,Newcastle,0,0,D,2024-2025,7,,,
2024-10-05,Crystal Palace,Liverpool,0,1,A,2024-2025,7,,,
2024-10-05,Arsenal,Southampton,3,1,H,2024-2025,7,,,
2024-10-05,Brentford,Wolverhampton,5,3,H,2024-2025,7,,,
2024-10-05,Leicester City,Bournemouth,1,0,H,2024-2025,7,,,
2024-10-05,Man City,Fulham,3,2,H,2024-2025,7,,,
2024-10-05,West Ham,Ipswich Town,4,1,H,2024-2025,7,,,
2024-10-06,Brighton Hove,Tottenham,3,2,H,2024-2025,7,,,
2024-10-06,Chelsea,Nottingham,1,1,D,2024-2025,7,,,
2024-10-06,Aston Villa,Man United,0,0,D,2024-2025,7,,,
2024-10-19,Tottenham,West Ham,4,1,H,2024-2025,8,,,
2024-10-19,Fulham,Aston Villa,1,3,A,2024-2025,8,,,
2024-10-19,Ipswich Town,Everton,0,2,A,2024-2025,8,,,
2024-10-19,Man United,Brentford,2,1,H,2024-2025,8,,,
2024-10-19,Newcastle,Brighton Hove,0,1,A,2024-2025,8,,,
2024-10-19,Southampton,Leicester City,2,3,A,2024-2025,8,,,
2024-10-19,Bournemouth,Arsenal,2,0,H,2024-2025,8,,,
2024-10-20,Wolverhampton,Man City,1,2,A,2024-2025,8,,,
2024-10-20,Liverpool,Chelsea,2,1,H,2024-2025,8,,,
2024-10-21,Nottingham,Crystal Palace,1,0,H,2024-2025,8,,,
2024-10-25,Leicester City,Nottingham,1,3,A,2024-2025,9,,,
2024-10-26,Aston Villa,Bournemouth,1,1,D,2024-2025,9,,,
2024-10-26,Brentford,Ipswich Town,4,3,H,2024-2025,9,,,
2024-10-26,Brighton Hove,Wolverhampton,2,2,D,2024-2025,9,,,
2024-10-26,Man City,Southampton,1,0,H,2024-2025,9,,,
2024-10-26,Everton,Fulham,1,1,D,2024-2025,9,,,
2024-10-27,Chelsea,Newcastle,2,1,H,2024-2025,9,,,
2024-10-27,Crystal Palace,Tottenham,1,0,H,2024-2025,9,,,
2024-10-27,West Ham,Man United,2,1,H,2024-2025,9,,,
2024-10-27,Arsenal,Liverpool,2,2,D,2024-2025,9,,,
2024-11-02,Nottingham,West Ham,3,0,H,2024-2025,10,,,
2024-11-02,Wolverhampton,Crystal Palace,2,2,D,2024-2025,10,,,
2024-11-02,Liverpool,Brighton Hove,2,1,H,2024-2025,10,,,
2024-11-02,Southampton,Everton,1,0,H,2024-2025,10,,,
2024-11-02,Bournemouth,Man City,2,1,H,2024-2025,10,,,
2024-11-02,Newcastle,Arsenal,1,0,H,2024-2025,10,,,
2024-11-02,Ipswich Town,Leicester City,1,1,D,2024-2025,10,,,
2024-11-03,Tottenham,Aston Villa,4,1,H,2024-2025,10,,,
2024-11-03,Man United,Chelsea,1,1,D,2024-2025,10,,,
2024-11-04,Fulham,Brentford,2,1,H,2024-2025,10,,,
2024-11-09,Brentford,Bournemouth,3,2,H,2024-2025,11,,,
2024-11-09,Crystal Palace,Fulham,0,2,A,2024-2025,11,,,
2024-11-09,West Ham,Everton,0,0,D,2024-2025,11,,,
2024-11-09,Wolverhampton,Southampton,2,0,H,2024-2025,11,,,
2024-11-09,Brighton Hove,Man City,2,1,H,2024-2025,11,,,
2024-11-09,Liverpool,Aston Villa,2,0,H,2024-2025,11,,,
2024-11-10,Chelsea,Arsenal,1,1,D,2024-2025,11,,,
2024-11-10,Tottenham,Ipswich Town,1,2,A,2024-2025,11,,,
2024-11-10,Man United,Leicester City,3,0,H,2024-2025,11,,,
2024-11-10,Nottingham,Newcastle,1,3,A,2024-2025,11,,,
2024-11-23,Fulham,Wolverhampton,1,4,A,2024-2025,12,,,
2024-11-23,Leicester City,Chelsea,1,2,A,2024-2025,12,,,
2024-11-23,Bournemouth,Brighton Hove,1,2,A,2024-2025,12,,,
2024-11-23,Arsenal,Nottingham,3,0,H,2024-2025,12,,,
2024-11-23,Aston Villa,Crystal Palace,2,2,D,2024-2025,12,,,
2024-11-23,Everton,Brentford,0,0,D,2024-2025,12,,,
2024-11-23,Man City,Tottenham,0,4,A,2024-2025,12,,,
2024-11-24,Ipswich Town,Man United,1,1,D,2024-2025,12,,,
2024-11-24,Southampton,Liverpool,2,3,A,2024-2025,12,,,
2024-11-25,Newcastle,West Ham,0,2,A,2024-2025,12,,,
2024-11-29,Brighton Hove,Southampton,1,1,D,2024-2025,13,,,
2024-11-30,Brentford,Leicester City,4,1,H,2024-2025,13,,,
2024-11-30,Crystal Palace,Newcastle,1,1,D,2024-2025,13,,,
2024-11-30,Nottingham,Ipswich Town,1,0,H,2024-2025,13,,,
2024-11-30,Wolverhampton,Bournemouth,2,4,A,2024-2025,13,,,
2024-11-30,West Ham,Arsenal,2,5,A,2024-2025,13,,,
2024-12-01,Tottenham,Fulham,1,1,D,2024-2025,13,,,
2024-12-01,Liverpool,Man City,2,0,H,2024-2025,13,,,
2024-12-01,Chelsea,Aston Villa,3,0,H,2024-2025,13,,,
2024-12-01,Man United,Everton,4,0,H,2024-2025,13,,,
2024-12-03,Ipswich Town,Crystal Palace,0,1,A,2024-2025,14,,,
2024-12-03,Leicester City,West Ham,3,1,H,2024-2025,14,,,
2024-12-04,Everton,Wolverhampton,4,0,H,2024-2025,14,,,
2024-12-04,Man City,Nottingham,3,0,H,2024-2025,14,,,
2024-12-04,Newcastle,Liverpool,3,3,D,2024-2025,14,,,
2024-12-04,Southampton,Chelsea,1,5,A,2024-2025,14,,,
2024-12-04,Arsenal,Man United,2,0,H,2024-2025,14,,,
2024-12-04,Aston Villa,Brentford,3,1,H,2024-2025,14,,,
2024-12-05,Bournemouth,Tottenham,1,0,H,2024-2025,14,,,
2024-12-05,Fulham,Brighton Hove,3,1,H,2024-2025,14,,,
2024-12-07,Man United,Nottingham,2,3,A,2024-2025,15,,,
2024-12-07,Crystal Palace,Man City,2,2,D,2024-2025,15,,,
2024-12-07,Aston Villa,Southampton,1,0,H,2024-2025,15,,,
2024-12-07,Brentford,Newcastle,4,2,H,2024-2025,15,,,
2024-12-08,Fulham,Arsenal,1,1,D,2024-2025,15,,,
2024-12-08,Ipswich Town,Bournemouth,1,2,A,2024-2025,15,,,
2024-12-08,Leicester City,Brighton Hove,2,2,D,2024-2025,15,,,
2024-12-08,Tottenham,Chelsea,3,4,A,2024-2025,15,,,
2024-12-09,West Ham,Wolverhampton,2,1,H,2024-2025,15,,,
2024-12-14,Wolverhampton,Ipswich Town,1,2,A,2024-2025,16,,,
2024-12-14,Newcastle,Leicester City,4,0,H,2024-2025,16,,,
2024-12-14,Nottingham,Aston Villa,2,1,H,2024-2025,16,,,
2024-12-14,Arsenal,Everton,0,0,D,2024-2025,16,,,
2024-12-14,Liverpool,Fulham,2,2,D,2024-2025,16,,,
2024-12-15,Man City,Man United,1,2,A,2024-2025,16,,,
2024-12-15,Chelsea,Brentford,2,1,H,2024-2025,16,,,
2024-12-15,Southampton,Tottenham,0,5,A,2024-2025,16,,,
2024-12-15,Brighton Hove,Crystal Palace,1,3,A,2024-2025,16,,,
2024-12-16,Bournemouth,West Ham,1,1,D,2024-2025,16,,,
2024-12-21,Aston Villa,Man City,2,1,H,2024-2025,17,,,
2024-12-21,Brentford,Nottingham,0,2,A,2024-2025,17,,,
2024-12-21,Ipswich Town,Newcastle,0,4,A,2024-2025,17,,,
2024-12-21,West Ham,Brighton Hove,1,1,D,2024-2025,17,,,
2024-12-21,Crystal Palace,Arsenal,1,5,A,2024-2025,17,,,
2024-12-22,Man United,Bournemouth,0,3,A,2024-2025,17,,,
2024-12-22,Tottenham,Liverpool,3,6,A,2024-2025,17,,,
2024-12-22,Leicester City,Wolverhampton,0,3,A,2024-2025,17,,,
2024-12-22,Everton,Chelsea,0,0,D,2024-2025,17,,,
2024-12-22,Fulham,Southampton,0,0,D,2024-2025,17,,,
2024-12-26,Man City,Everton,1,1,D,2024-2025,18,,,
2024-12-26,Bournemouth,Crystal Palace,0,0,D,2024-2025,18,,,
2024-12-26,Chelsea,Fulham,1,2,A,2024-2025,18,,,
2024-12-26,Newcastle,Aston Villa,3,0,H,2024-2025,18,,,
2024-12-26,Nottingham,Tottenham,1,0,H,2024-2025,18,,,
2024-12-26,Southampton,West Ham,0,1,A,2024-2025,18,,,
2024-12-26,Wolverhampton,Man United,2,0,H,2024-2025,18,,,
2024-12-26,Liverpool,Leicester City,3,1,H,2024-2025,18,,,
2024-12-27,Brighton Hove,Brentford,0,0,D,2024-2025,18,,,
2024-12-27,Arsenal,Ipswich Town,1,0,H,2024-2025,18,,,
2024-12-29,West Ham,Liverpool,0,5,A,2024-2025,19,,,
2024-12-29,Tottenham,Wolverhampton,2,2,D,2024-2025,19,,,
2024-12-29,Fulham,Bournemouth,2,2,D,2024-2025,19,,,
2024-12-29,Leicester City,Man City,0,2,A,2024-2025,19,,,
2024-12-29,Crystal Palace,Southampton,2,1,H,2024-2025,19,,,
2024-12-29,Everton,Nottingham,0,2,A,2024-2025,19,,,
2024-12-30,Aston Villa,Brighton Hove,2,2,D,2024-2025,19,,,
2024-12-30,Ipswich Town,Chelsea,2,0,H,2024-2025,19,,,
2024-12-30,Man United,Newcastle,0,2,A,2024-2025,19,,,
2025-01-01,Brentford,Arsenal,1,3,A,2024-2025,19,,,
2025-01-04,Man City,West Ham,4,1,H,2024-2025,20,,,
2025-01-04,Brighton Hove,Arsenal,1,1,D,2024-2025,20,,,
2025-01-04,Aston Villa,Leicester City,2,1,H,2024-2025,20,,,
2025-01-04,Tottenham,Newcastle,1,2,A,2024-2025,20,,,
2025-01-04,Crystal Palace,Chelsea,1,1,D,2024-2025,20,,,
2025-01-04,Bournemouth,Everton,1,0,H,2024-2025,20,,,
2025-01-04,Southampton,Brentford,0,5,A,2024-2025,20,,,
2025-01-05,Fulham,Ipswich Town,2,2,D,2024-2025,20,,,
2025-01-05,Liverpool,Man United,2,2,D,2024-2025,20,,,
2025-01-06,Wolverhampton,Nottingham,0,3,A,2024-2025,20,,,
2025-01-14,West Ham,Fulham,3,2,H,2024-2025,21,,,
2025-01-14,Brentford,Man City,2,2,D,2024-2025,21,,,
2025-01-14,Chelsea,Bournemouth,2,2,D,2024-2025,21,,,
2025-01-14,Nottingham,Liverpool,1,1,D,2024-2025,21,,,
2025-01-15,Arsenal,Tottenham,2,1,H,2024-2025,21,,,
2025-01-15,Newcastle,Wolverhampton,3,0,H,2024-2025,21,,,
2025-01-15,Leicester City,Crystal Palace,0,2,A,2024-2025,21,,,
2025-01-15,Everton,Aston Villa,0,1,A,2024-2025,21,,,
2025-01-16,Ipswich Town,Brighton Hove,0,2,A,2024-2025,21,,,
2025-01-16,Man United,Southampton,3,1,H,2024-2025,21,,,
2025-01-18,Newcastle,Bournemouth,1,4,A,2024-2025,22,,,
2025-01-18,West Ham,Crystal Palace,0,2,A,2024-2025,22,,,
2025-01-18,Leicester City,Fulham,0,2,A,2024-2025,22,,,
2025-01-18,Brentford,Liverpool,0,2,A,2024-2025,22,,,
2025-01-18,Arsenal,Aston Villa,2,2,D,2024-2025,22,,,
2025-01-19,Everton,Tottenham,3,2,H,2024-2025,22,,,
2025-01-19,Ipswich Town,Man City,0,6,A,2024-2025,22,,,
2025-01-19,Man United,Brighton Hove,1,3,A,2024-2025,22,,,
2025-01-19,Nottingham,Southampton,3,2,H,2024-2025,22,,,
2025-01-20,Chelsea,Wolverhampton,3,1,H,2024-2025,22,,,
2025-01-25,Liverpool,Ipswich Town,4,1,H,2024-2025,23,,,
2025-01-25,Wolverhampton,Arsenal,0,1,A,2024-2025,23,,,
2025-01-25,Brighton Hove,Everton,0,1,A,2024-2025,23,,,
2025-01-25,Southampton,Newcastle,1,3,A,2024-2025,23,,,
2025-01-25,Bournemouth,Nottingham,5,0,H,2024-2025,23,,,
2025-01-25,Man City,Chelsea,3,1,H,2024-2025,23,,,
2025-01-26,Fulham,Man United,0,1,A,2024-2025,23,,,
2025-01-26,Aston Villa,West Ham,1,1,D,2024-2025,23,,,
2025-01-26,Crystal Palace,Brentford,1,2,A,2024-2025,23,,,
2025-01-26,Tottenham,Leicester City,1,2,A,2024-2025,23,,,
2025-02-01,Nottingham,Brighton Hove,7,0,H,2024-2025,24,,,
2025-02-01,Newcastle,Fulham,1,2,A,2024-2025,24,,,
2025-02-01,Everton,Leicester City,4,0,H,2024-2025,24,,,
2025-02-01,Bournemouth,Liverpool,0,2,A,2024-2025,24,,,
2025-02-01,Ipswich Town,Southampton,1,2,A,2024-2025,24,,,
2025-02-01,Wolverhampton,Aston Villa,2,0,H,2024-2025,24,,,
2025-02-02,Man United,Crystal Palace,0,2,A,2024-2025,24,,,
2025-02-02,Brentford,Tottenham,0,2,A,2024-2025,24,,,
2025-02-02,Arsenal,Man City,5,1,H,2024-2025,24,,,
2025-02-03,Chelsea,West Ham,2,1,H,2024-2025,24,,,
2025-02-12,Everton,Liverpool,2,2,D,2024-2025,15,,,
2025-02-14,Brighton Hove,Chelsea,3,0,H,2024-2025,25,,,
2025-02-15,Leicester City,Arsenal,0,2,A,2024-2025,25,,,
2025-02-15,Southampton,Bournemouth,1,3,A,2024-2025,25,,,
2025-02-15,West Ham,Brentford,0,1,A,2024-2025,25,,,
2025-02-15,Aston Villa,Ipswich Town,1,1,D,2024-2025,25,,,
2025-02-15,Man City,Newcastle,4,0,H,2024-2025,25,,,
2025-02-15,Fulham,Nottingham,2,1,H,2024-2025,25,,,
2025-02-15,Crystal Palace,Everton,1,2,A,2024-2025,25,,,
2025-02-16,Liverpool,Wolverhampton,2,1,H,2024-2025,25,,,
2025-02-16,Tottenham,Man United,1,0,H,2024-2025,25,,,
2025-02-19,Aston Villa,Liverpool,2,2,D,2024-2025,29,,,
2025-02-21,Leicester City,Brentford,0,4,A,2024-2025,26,,,
2025-02-22,Everton,Man United,2,2,D,2024-2025,26,,,
2025-02-22,Ipswich Town,Tottenham,1,4,A,2024-2025,26,,,
2025-02-22,Fulham,Crystal Palace,0,2,A,2024-2025,26,,,
2025-02-22,Arsenal,West Ham,0,1,A,2024-2025,26,,,
2025-02-22,Bournemouth,Wolverhampton,0,1,A,2024-2025,26,,,
2025-02-22,Southampton,Brighton Hove,0,4,A,2024-2025,26,,,
2025-02-22,Aston Villa,Chelsea,2,1,H,2024-2025,26,,,
2025-02-23,Newcastle,Nottingham,4,3,H,2024-2025,26,,,
2025-02-23,Man City,Liverpool,0,2,A,2024-2025,26,,,
2025-02-25,Chelsea,Southampton,4,0,H,2024-2025,27,,,
2025-02-25,Wolverhampton,Fulham,1,2,A,2024-2025,27,,,
2025-02-25,Brighton Hove,Bournemouth,2,1,H,2024-2025,27,,,
2025-02-25,Crystal Palace,Aston Villa,4,1,H,2024-2025,27,,,
2025-02-26,Nottingham,Arsenal,0,0,D,2024-2025,27,,,
2025-02-26,Brentford,Everton,1,1,D,2024-2025,27,,,
2025-02-26,Tottenham,Man City,0,1,A,2024-2025,27,,,
2025-02-26,Man United,Ipswich Town,3,2,H,2024-2025,27,,,
2025-02-26,Liverpool,Newcastle,2,0,H,2024-2025,27,,,
2025-02-27,West Ham,Leicester City,2,0,H,2024-2025,27,,,
2025-03-08,Liverpool,Southampton,3,1,H,2024-2025,28,,,
2025-03-08,Wolverhampton,Everton,1,1,D,2024-2025,28,,,
2025-03-08,Brentford,Aston Villa,0,1,A,2024-2025,28,,,
2025-03-08,Brighton Hove,Fulham,2,1,H,2024-2025,28,,,
2025-03-08,Nottingham,Man City,1,0,H,2024-2025,28,,,
2025-03-08,Crystal Palace,Ipswich Town,1,0,H,2024-2025,28,,,
2025-03-09,Tottenham,Bournemouth,2,2,D,2024-2025,28,,,
2025-03-09,Chelsea,Leicester City,1,0,H,2024-2025,28,,,
2025-03-09,Man United,Arsenal,1,1,D,2024-2025,28,,,
2025-03-10,West Ham,Newcastle,0,1,A,2024-2025,28,,,
2025-03-15,Southampton,Wolverhampton,1,2,A,2024-2025,29,,,
2025-03-15,Man City,Brighton Hove,2,2,D,2024-2025,29,,,
2025-03-15,Bournemouth,Brentford,1,2,A,2024-2025,29,,,
2025-03-15,Everton,West Ham,1,1,D,2024-2025,29,,,
2025-03-15,Ipswich Town,Nottingham,2,4,A,2024-2025,29,,,
2025-03-16,Leicester City,Man United,0,3,A,2024-2025,29,,,
2025-03-16,Arsenal,Chelsea,1,0,H,2024-2025,29,,,
2025-03-16,Fulham,Tottenham,2,0,H,2024-2025,29,,,
2025-04-01,Arsenal,Fulham,2,1,H,2024-2025,30,,,
2025-04-01,Wolverhampton,West Ham,1,0,H,2024-2025,30,,,
2025-04-01,Nottingham,Man United,1,0,H,2024-2025,30,,,
2025-04-02,Bournemouth,Ipswich Town,1,2,A,2024-2025,30,,,
2025-04-02,Brighton Hove,Aston Villa,0,3,A,2024-2025,30,,,
2025-04-02,Man City,Leicester City,2,0,H,2024-2025,30,,,
2025-04-02,Newcastle,Brentford,2,1,H,2024-2025,30,,,
2025-04-02,Southampton,Crystal Palace,1,1,D,2024-2025,30,,,
2025-04-02,Liverpool,Everton,1,0,H,2024-2025,30,,,
2025-04-03,Chelsea,Tottenham,1,0,H,2024-2025,30,,,
2025-04-05,Aston Villa,Nottingham,2,1,H,2024-2025,31,,,
2025-04-05,West Ham,Bournemouth,2,2,D,2024-2025,31,,,
2025-04-05,Everton,Arsenal,1,1,D,2024-2025,31,,,
2025-04-05,Crystal Palace,Brighton Hove,2,1,H,2024-2025,31,,,
2025-04-05,Ipswich Town,Wolverhampton,1,2,A,2024-2025,31,,,
2025-04-06,Brentford,Chelsea,0,0,D,2024-2025,31,,,
2025-04-06,Fulham,Liverpool,3,2,H,2024-2025,31,,,
2025-04-06,Tottenham,Southampton,3,1,H,2024-2025,31,,,
2025-04-06,Man United,Man City,0,0,D,2024-2025,31,,,
2025-04-07,Leicester City,Newcastle,0,3,A,2024-2025,31,,,
2025-04-12,Arsenal,Brentford,1,1,D,2024-2025,32,,,
2025-04-12,Southampton,Aston Villa,0,3,A,2024-2025,32,,,
2025-04-12,Brighton Hove,Leicester City,2,2,D,2024-2025,32,,,
2025-04-12,Man City,Crystal Palace,5,2,H,2024-2025,32,,,
2025-04-12,Nottingham,Everton,0,1,A,2024-2025,32,,,
2025-04-13,Chelsea,Ipswich Town,2,2,D,2024-2025,32,,,
2025-04-13,Liverpool,West Ham,2,1,H,2024-2025,32,,,
2025-04-13,Wolverhampton,Tottenham,4,2,H,2024-2025,32,,,
2025-04-13,Newcastle,Man United,4,1,H,2024-2025,32,,,
2025-04-14,Bournemouth,Fulham,1,0,H,2024-2025,32,,,
2025-04-16,Newcastle,Crystal Palace,5,0,H,2024-2025,29,,,
2025-04-19,Everton,Man City,0,2,A,2024-2025,33,,,
2025-04-19,Aston Villa,Newcastle,4,1,H,2024-2025,33,,,
2025-04-19,West Ham,Southampton,1,1,D,2024-2025,33,,,
2025-04-19,Brentford,Brighton Hove,4,2,H,2024-2025,33,,,
2025-04-19,Crystal Palace,Bournemouth,0,0,D,2024-2025,33,,,
2025-04-20,Leicester City,Liverpool,0,1,A,2024-2025,33,,,
2025-04-20,Fulham,Chelsea,1,2,A,2024-2025,33,,,
2025-04-20,Ipswich Town,Arsenal,0,4,A,2024-2025,33,,,
2025-04-20,Man United,Wolverhampton,0,1,A,2024-2025,33,,,
2025-04-21,Tottenham,Nottingham,1,2,A,2024-2025,33,,,
2025-04-22,Man City,Aston Villa,2,1,H,2024-2025,34,,,
2025-04-23,Arsenal,Crystal Palace,2,2,D,2024-2025,34,,,
2025-04-26,Wolverhampton,Leicester City,3,0,H,2024-2025,34,,,
2025-04-26,Southampton,Fulham,1,2,A,2024-2025,34,,,
2025-04-26,Brighton Hove,West Ham,3,2,H,2024-2025,34,,,
2025-04-26,Chelsea,Everton,1,0,H,2024-2025,34,,,
2025-04-26,Newcastle,Ipswich Town,3,0,H,2024-2025,34,,,
2025-04-27,Bournemouth,Man United,1,1,D,2024-2025,34,,,
2025-04-27,Liverpool,Tottenham,5,1,H,2024-2025,34,,,
2025-05-01,Nottingham,Brentford,0,2,A,2024-2025,34,,,
2025-05-02,Man City,Wolverhampton,1,0,H,2024-2025,35,,,
2025-05-03,Arsenal,Bournemouth,1,2,A,2024-2025,35,,,
2025-05-03,Leicester City,Southampton,2,0,H,2024-2025,35,,,
2025-05-03,Aston Villa,Fulham,1,0,H,2024-2025,35,,,
2025-05-03,Everton,Ipswich Town,2,2,D,2024-2025,35,,,
2025-05-04,Brentford,Man United,4,3,H,2024-2025,35,,,
2025-05-04,Brighton Hove,Newcastle,1,1,D,2024-2025,35,,,
2025-05-04,West Ham,Tottenham,1,1,D,2024-2025,35,,,
2025-05-04,Chelsea,Liverpool,3,1,H,2024-2025,35,,,
2025-05-05,Crystal Palace,Nottingham,1,1,D,2024-2025,35,,,
2025-05-10,Wolverhampton,Brighton Hove,0,2,A,2024-2025,36,,,
2025-05-10,Southampton,Man City,0,0,D,2024-2025,36,,,
2025-05-10,Bournemouth,Aston Villa,0,1,A,2024-2025,36,,,
2025-05-10,Fulham,Everton,1,3,A,2024-2025,36,,,
2025-05-10,Ipswich Town,Brentford,0,1,A,2024-2025,36,,,
2025-05-11,Newcastle,Chelsea,2,0,H,2024-2025,36,,,
2025-05-11,Man United,West Ham,0,2,A,2024-2025,36,,,
2025-05-11,Nottingham,Leicester City,2,2,D,2024-2025,36,,,
2025-05-11,Tottenham,Crystal Palace,0,2,A,2024-2025,36,,,
2025-05-11,Liverpool,Arsenal,2,2,D,2024-2025,36,,,
2025-05-16,Aston Villa,Tottenham,2,0,H,2024-2025,37,,,
2025-05-16,Chelsea,Man United,1,0,H,2024-2025,37,,,
2025-05-18,Arsenal,Newcastle,1,0,H,2024-2025,37,,,
2025-05-18,Leicester City,Ipswich Town,2,0,H,2024-2025,37,,,
2025-05-18,West Ham,Nottingham,1,2,A,2024-2025,37,,,
2025-05-18,Everton,Southampton,2,0,H,2024-2025,37,,,
2025-05-18,Brentford,Fulham,2,3,A,2024-2025,37,,,
2025-05-19,Brighton Hove,Liverpool,3,2,H,2024-2025,37,,,
2025-05-20,Crystal Palace,Wolverhampton,4,2,H,2024-2025,37,,,
2025-05-20,Man City,Bournemouth,3,1,H,2024-2025,37,,,
2025-05-25,Newcastle,Everton,0,1,A,2024-2025,38,,,
2025-05-25,Southampton,Arsenal,1,2,A,2024-2025,38,,,
2025-05-25,Nottingham,Chelsea,0,1,A,2024-2025,38,,,
2025-05-25,Man United,Aston Villa,2,0,H,2024-2025,38,,,
2025-05-25,Tottenham,Brighton Hove,1,4,A,2024-2025,38,,,
2025-05-25,Ipswich Town,West Ham,1,3,A,2024-2025,38,,,
2025-05-25,Fulham,Man City,0,2,A,2024-2025,38,,,
2025-05-25,Bournemouth,Leicester City,2,0,H,2024-2025,38,,,
2025-05-25,Liverpool,Crystal Palace,1,1,D,2024-2025,38,,,
2025-05-25,Wolverhampton,Brentford,1,1,D,2024-2025,38,,,
